DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2025-09-16,10,PST,San Francisco,CA,37.75,-122.43,O3,15,"{'Number': 1, 'Name': 'Good'}"
2025-09-16,10,PST,San Francisco,CA,37.75,-122.43,PM2.5,25,"{'Number': 1, 'Name': 'Good'}"
