DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2025-09-11,12,PST,San Francisco,CA,37.75,-122.43,O3,21,"{'Number': 1, 'Name': 'Good'}"
2025-09-11,12,PST,San Francisco,CA,37.75,-122.43,PM2.5,35,"{'Number': 1, 'Name': 'Good'}"
